59841,Vesta,14 wiszace,Lampa Algieria Wisząca,100,szt.,99,1,23%,100,0,100,auto,14 dni,4.97,10,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/11/59841-Tube-zwis-miedź.jpg,https://swiatlo-w-domu.pl/wp-content/uploads/2018/11/59841-Tube-zwis-miedź.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/11/Tube.png,,,E27,1,60W,miedź,,4.5 cm,28/250 cm
17171,Vesta,16 kinkiety,Lampa Chile Kinkiet,100,szt.,156,1,23%,100,0,100,auto,14 dni,4.92,12,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-kinkiet-D25-17171-biało-złoty-z-brązem.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-sconce-25.png,,,,E14,1,40W,biało-złoty z brązem,,25 cm,
17271,Vesta,16 kinkiety,Lampa Chiny Kinkiet,100,szt.,156,1,23%,100,0,100,auto,14 dni,4.8,10,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-kinkiet-D25-17271-szary-z-brązem.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-sconce-25.png,,,,E14,1,40W,szary z brązem,,25 cm,
17371,Vesta,16 kinkiety,Lampa Chorwacja Kinkiet,100,szt.,156,1,23%,100,0,100,auto,14 dni,4.74,7,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-kinkiet-D25-17371-czarny-z-brązem.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-sconce-25.png,,,,E14,1,40W,czarny z brązem,,25 cm,
19171,Vesta,16 kinkiety,Lampa Cypr Kinkiet,100,szt.,156,1,23%,100,0,100,auto,14 dni,4.82,14,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-kinkiet-D25-19171-biało-złoty-ze-złotem.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-sconce-25.png,,,,E14,1,40W,biało-złoty ze złotem,,25 cm,
19371,Vesta,16 kinkiety,Lampa Czad Kinkiet,100,szt.,156,1,23%,100,0,100,auto,14 dni,4.51,13,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-kinkiet-D25-19371-czarny-ze-złotem.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-sconce-25.png,,,,E14,1,40W,czarny ze złotem,,25 cm,
17131,Vesta,14 wiszace,Lampa Czarnogóra Wisząca,100,szt.,189,1,23%,100,0,100,auto,14 dni,4.57,15,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-lampa-wisząca-D33-17131-biało-złoty-z-brązem.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-pendant-33.png,,,,E27,1,60W,biało-złoty z brązem,,33 cm,26/140 cm
17231,Vesta,14 wiszace,Lampa Czechy Wisząca,100,szt.,189,1,23%,100,0,100,auto,14 dni,4.66,16,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-lampa-wisząca-D33-17231-szary-z-brązem.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-pendant-33.png,,,,E27,1,60W,szary z brązem,,33 cm,26/140 cm
17331,Vesta,14 wiszace,Lampa Dania Wisząca,100,szt.,189,1,23%,100,0,100,auto,14 dni,5,15,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-lampa-wisząca-D33-17331-czarny-z-brązem.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-pendant-33.png,,,,E27,1,60W,czarny z brązem,,33 cm,26/140 cm
19131,Vesta,16 kinkiety,Lampa Demokratyczna Republika Konga Kinkiet,100,szt.,189,1,23%,100,0,100,auto,14 dni,4.9,11,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-lampa-wisząca-D33-19131-biało-złoty-ze-złotem.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-pendant-33.png,,,,E27,1,60W,biało-złoty ze złotem,,33 cm,26/140 cm
19331,Vesta,16 kinkiety,Lampa Dominika Kinkiet,100,szt.,189,1,23%,100,0,100,auto,14 dni,4.67,5,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-lampa-wisząca-D33-19331-czarny-ze-złotem.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-pendant-33.png,,,,E27,1,60W,czarny ze złotem,,33 cm,26/140 cm
50311,Vesta,14 wiszace,Lampa Andora Wisząca,100,szt.,133,1,23%,100,0,100,auto,14 dni,4.79,11,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/12/50311-Tokyo-zwis-czarny-kabel-biały.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Tokyo-black.png,,,,E27,1,60W,czarny kabel biały,,,48/120 cm
17181,Vesta,16 kinkiety,Lampa Dominikana Kinkiet,100,szt.,209,1,23%,100,0,100,auto,14 dni,4.77,15,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-kinkiet-D33-17181-biało-złoty-z-brązem.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-sconce-33.png,,,,E27,1,60W,biało-złoty z brązem,,33 cm,
17281,Vesta,16 kinkiety,Lampa Dżibuti Kinkiet,100,szt.,209,1,23%,100,0,100,auto,14 dni,4.89,9,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-kinkiet-D33-17281-szary-z-brązem.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-sconce-33.png,,,,E27,1,60W,szary z brązem,,33 cm,
17381,Vesta,16 kinkiety,Lampa Egipt Kinkiet,100,szt.,209,1,23%,100,0,100,auto,14 dni,4.81,7,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-kinkiet-D33-17381-czarny-z-brązem.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-sconce-33.png,,,,E27,1,60W,czarny z brązem,,33 cm,
19181,Vesta,16 kinkiety,Lampa Ekwador Kinkiet,100,szt.,209,1,23%,100,0,100,auto,14 dni,4.54,11,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-kinkiet-D33-19181-biało-złoty-ze-złotem.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-sconce-33.png,,,,E27,1,60W,biało-złoty ze złotem,,33 cm,
19381,Vesta,16 kinkiety,Lampa Erytrea Kinkiet,100,szt.,209,1,23%,100,0,100,auto,14 dni,4.96,19,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-kinkiet-D33-19381-czarny-ze-złotem.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-sconce-33.png,,,,E27,1,60W,czarny ze złotem,,33 cm,
18131,Vesta,14 wiszace,Lampa Estonia Wisząca,100,szt.,182,1,23%,100,0,100,auto,14 dni,4.66,15,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/12/18131-Shanghai-lampa-wisząca-biało-złota.jpg,https://swiatlo-w-domu.pl/wp-content/uploads/2018/12/18131-Shanghai-lampa-wisząca-biało-złota.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Shanghai-white-gold.png,,,E27,1,60W,biało-złoty,,33 cm,16/120 cm
