MOD211-09-N,-,Modern,Venus,Maytoni Modern,Metal frame. Modern design using a LED module.,Chrome,227,454,-,-,-,-,-,Metal,380,1225,-,-,620,60,180,-,-,-,-,-,66W,3300,A++-A,20,845,No,Yes,Pendant,4251110008349,"0,67",0.11,0.11,"4,50",7,"2,065",Maytoni Modern,Modern,Venus,Pendant,Chrome,42,,454 €,"  2,342.18 PLN ",380,620, - , - ,LED  66W,0,0.21
MOD211-06-N,-,Modern,Venus,Maytoni Modern,Metal frame. Modern design using a LED module.,Chrome,104,207,-,-,-,-,-,Metal,240,935,-,-,430,50,140,-,-,-,-,-,28W,1400,A++-A,20,695,No,Yes,Pendant,4251110008325,"0,46",0.11,0.11,2,"3,50",804,Maytoni Modern,Modern,Venus,Pendant,Chrome,42,,207 €,"  1,067.91 PLN ",240,430, - , - ,LED  28W,0,0.08
MOD211-07-N,-,Modern,Venus,Maytoni Modern,Metal frame. Modern design using a LED module.,Chrome,171,341,-,-,-,-,-,Metal,310,1235,-,-,520,50,140,-,-,-,-,-,40W,2000,A++-A,20,925,No,Yes,Pendant,4251110008332,"0,58",0.11,0.11,"2,90","5,40","1,245",Maytoni Modern,Modern,Venus,Pendant,Chrome,42,,341 €,"  1,759.22 PLN ",310,520, - , - ,LED  40W,0,0.12
MOD447-33-N,-,Modern,Klee,Maytoni Modern,Metal frame. Wall/ceiling lamp using a LED module.,Chrome,70,139,-,-,-,-,-,Metal,150,-,-,-,540,50,180,-,-,-,-,-,30W,1500,A++-A,20,-,No,Yes,Ceiling lamp,4251110006246,"0,59",0.105,0.125,"1,30","2,50",584,Maytoni Modern,Modern,Klee,Ceiling lamp,Chrome,44,,139 €,  717.10 PLN ,150,540, - , - ,LED  30W,0,0.06
MOD447-55-N,-,Modern,Klee,Maytoni Modern,Metal frame. Wall/ceiling lamp using a LED module.,Chrome,97,194,-,-,-,-,-,Metal,150,-,-,-,560,50,180,-,-,-,-,-,43W,2150,A++-A,20,-,No,Yes,Ceiling lamp,4251110006253,"0,61",0.105,0.125,"1,70","3,10",670,Maytoni Modern,Modern,Klee,Ceiling lamp,Chrome,44,,194 €,"  1,000.84 PLN ",150,560, - , - ,LED  43W,0,0.07
MOD447-CL-3-30-W,-,Modern,Klee,Maytoni Modern,Metal frame. Wall/ceiling lamp using a LED module.,White,69,138,-,-,-,-,-,Metal,150,-,-,-,560,50,180,-,-,-,-,-,43W,2150,A++-A,20,-,No,Yes,Ceiling lamp,4251110012728,"0,59",0.105,0.125,"1,30","2,50",584,Maytoni Modern,Modern,Klee,Ceiling lamp,White,45,,138 €,  711.94 PLN ,150,560, - , - ,LED  43W,0,0.06
MOD447-CL-5-43-W,-,Modern,Klee,Maytoni Modern,Metal frame. Wall/ceiling lamp using a LED module.,White,100,199,-,-,-,-,-,Metal,150,-,-,-,560,50,180,-,-,-,-,-,43W,2150,A++-A,20,-,No,Yes,Ceiling lamp,4251110012735,"0,61",0.04,0.095,"1,70","3,10",670,Maytoni Modern,Modern,Klee,Ceiling lamp,White,45,,199 €,"  1,026.64 PLN ",150,560, - , - ,LED  43W,0,0.07
MOD556-02-N,-,Modern,Wave,Maytoni Modern,Metal frame. Modern design using a LED module.,Chrome,87,174,-,-,-,-,-,Metal,1200,-,1100,33,-,50,70,-,-,-,-,-,29W,2320,A++-A,20,680,No,Yes,Pendant,4251110006468,"1,15",0.06,0.16,"1,50","2,40",293,Maytoni Modern,Modern,Wave,Pendant,Chrome,46,,174 €,  897.66 PLN ,1200, - ,1100,33,LED 29W,0,0.03
MOD200-10-N,-,Modern,Ellis,Maytoni Modern,Metal frame. Modern design using a LED module.,Chrome,68,136,-,-,-,-,-,Metal,1000,-,1000,60,-,45,300,-,-,-,-,-,37.2W,2306,A++-A,20,900,No,Yes,Pendant,4251110010182,"1,05",0.06,0.16,"0,98","1,62",236,Maytoni Modern,Modern,Ellis,Pendant,Chrome,48,,136 €,  701.62 PLN ,1000, - ,1000,60,"LED  37,2W",0,0.02
MOD200-70-N,-,Modern,Ellis,Maytoni Modern,Metal frame. Modern design using a LED module.,Chrome,56,112,-,-,-,-,-,Metal,1000,-,700,60,-,45,200,-,-,-,-,-,26.4W,1716,A++-A,20,930,No,Yes,Pendant,4251110010199,"0,75",0.12,0.12,"0,67","1,19",169,Maytoni Modern,Modern,Ellis,Pendant,Chrome,48,,112 €,  577.81 PLN ,1000, - ,700,60,"LED  26,4W",0,0.02
MOD200-02-N,-,Modern,Ellis,Maytoni Modern,Metal frame. Modern design using a LED module.,Chrome,44,87,-,-,-,-,-,Metal,500,-,150,150,-,-,-,150,20,150,-,-,19.2W,1306,A++-A,20,-,No,Yes,Table lamp,4251110010205,"0,56",0.12,0.12,"0,91","1,48",224,Maytoni Modern,Modern,Ellis,Table lamp,Chrome,48,,87 €,  448.83 PLN ,500, - ,150,150,"LED 19,2W",0,0.02
